hour_start,surface_start,surface_end,activations,deletion_exits,inactivity_exits,delete_actions,active_multiwriter_incidences,active_multiwriter_labels
2026-06-16T00:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T01:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T02:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T03:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T04:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T05:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T06:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T07:00:00+00:00,0,5,5,0,0,0,10,7
2026-06-16T08:00:00+00:00,5,4,7,0,8,0,8,8
2026-06-16T09:00:00+00:00,4,13,12,0,3,0,39,25
2026-06-16T10:00:00+00:00,13,12,9,0,10,0,52,24
2026-06-16T11:00:00+00:00,12,5,2,0,9,0,23,16
2026-06-16T12:00:00+00:00,5,7,8,0,6,0,16,9
2026-06-16T13:00:00+00:00,7,1,2,0,8,0,2,2
2026-06-16T14:00:00+00:00,1,1,1,0,1,0,2,2
2026-06-16T15:00:00+00:00,1,0,0,0,1,0,0,0
2026-06-16T16:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T17:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T18:00:00+00:00,0,23,23,0,0,0,80,70
2026-06-16T19:00:00+00:00,23,68,60,0,15,0,451,267
2026-06-16T20:00:00+00:00,68,49,40,0,59,0,219,159
2026-06-16T21:00:00+00:00,49,56,55,0,48,0,254,142
2026-06-16T22:00:00+00:00,56,33,29,0,52,0,139,89
2026-06-16T23:00:00+00:00,33,16,11,0,28,0,61,39
2026-06-17T00:00:00+00:00,16,16,15,0,15,0,57,43
2026-06-17T01:00:00+00:00,16,25,21,0,12,0,112,83
2026-06-17T02:00:00+00:00,25,30,27,0,22,0,117,74
2026-06-17T03:00:00+00:00,30,23,17,0,24,0,61,44
2026-06-17T04:00:00+00:00,23,5,10,0,28,0,13,12
2026-06-17T05:00:00+00:00,5,3,6,0,8,0,10,10
2026-06-17T06:00:00+00:00,3,11,11,0,3,0,30,24
2026-06-17T07:00:00+00:00,11,15,14,0,10,0,36,31
2026-06-17T08:00:00+00:00,15,6,6,0,15,0,20,17
2026-06-17T09:00:00+00:00,6,5,6,0,7,0,18,16
2026-06-17T10:00:00+00:00,5,2,1,0,4,0,8,8
2026-06-17T11:00:00+00:00,2,3,2,0,1,0,8,5
2026-06-17T12:00:00+00:00,3,1,0,0,2,0,5,5
2026-06-17T13:00:00+00:00,1,3,2,0,0,0,8,6
2026-06-17T14:00:00+00:00,3,0,0,0,3,0,0,0
2026-06-17T15:00:00+00:00,0,2,2,0,0,0,6,6
2026-06-17T16:00:00+00:00,2,12,13,0,3,0,40,36
2026-06-17T17:00:00+00:00,12,6,6,0,12,0,19,18
2026-06-17T18:00:00+00:00,6,3,4,0,7,0,12,12
2026-06-17T19:00:00+00:00,3,4,5,0,4,0,13,11
2026-06-17T20:00:00+00:00,4,3,3,0,4,0,6,4
2026-06-17T21:00:00+00:00,3,6,6,0,3,0,15,7
2026-06-17T22:00:00+00:00,6,3,0,0,3,0,11,6
2026-06-17T23:00:00+00:00,3,1,1,0,3,0,3,3
2026-06-18T00:00:00+00:00,1,2,2,0,1,0,6,5
2026-06-18T01:00:00+00:00,2,1,2,0,3,0,4,4
2026-06-18T02:00:00+00:00,1,0,1,0,2,0,0,0
2026-06-18T03:00:00+00:00,0,0,1,0,1,0,0,0
2026-06-18T04:00:00+00:00,0,2,2,0,0,0,4,3
2026-06-18T05:00:00+00:00,2,0,0,0,2,0,0,0
2026-06-18T06:00:00+00:00,0,2,2,0,0,0,4,4
2026-06-18T07:00:00+00:00,2,1,1,0,2,0,2,2
2026-06-18T08:00:00+00:00,1,0,1,0,2,0,0,0
2026-06-18T09:00:00+00:00,0,0,1,0,1,0,0,0
2026-06-18T10:00:00+00:00,0,1,2,0,1,0,2,2
2026-06-18T11:00:00+00:00,1,0,0,0,1,0,0,0
2026-06-18T12:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-18T13:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-18T14:00:00+00:00,0,2,3,0,1,0,5,5
2026-06-18T15:00:00+00:00,2,9,11,0,4,0,30,26
2026-06-18T16:00:00+00:00,9,26,28,0,11,0,89,56
2026-06-18T17:00:00+00:00,26,50,43,0,19,0,215,113
2026-06-18T18:00:00+00:00,50,79,73,16,28,25,432,238
2026-06-18T19:00:00+00:00,79,112,93,0,60,0,675,266
2026-06-18T20:00:00+00:00,112,104,97,0,105,0,661,268
2026-06-18T21:00:00+00:00,104,32,32,0,104,0,196,121
2026-06-18T22:00:00+00:00,32,3,3,0,32,0,8,7
2026-06-18T23:00:00+00:00,3,5,5,0,3,0,20,16
2026-06-19T00:00:00+00:00,5,9,6,0,2,0,30,23
2026-06-19T01:00:00+00:00,9,6,4,0,7,0,18,15
2026-06-19T02:00:00+00:00,6,2,1,0,5,0,6,5
2026-06-19T03:00:00+00:00,2,7,6,0,1,0,18,14
2026-06-19T04:00:00+00:00,7,2,2,0,7,0,4,3
2026-06-19T05:00:00+00:00,2,2,2,0,2,0,5,5
2026-06-19T06:00:00+00:00,2,0,1,0,3,0,0,0
2026-06-19T07:00:00+00:00,0,2,3,0,1,0,5,5
2026-06-19T08:00:00+00:00,2,2,2,0,2,0,5,5
2026-06-19T09:00:00+00:00,2,2,2,0,2,0,7,5
2026-06-19T10:00:00+00:00,2,1,1,0,2,0,6,6
2026-06-19T11:00:00+00:00,1,0,1,0,2,0,0,0
2026-06-19T12:00:00+00:00,0,9,9,0,0,0,25,23
2026-06-19T13:00:00+00:00,9,2,5,7,5,59,5,4
2026-06-19T14:00:00+00:00,2,3,3,0,2,24,13,8
2026-06-19T15:00:00+00:00,3,0,1,2,2,41,0,0
2026-06-19T16:00:00+00:00,0,1,1,0,0,38,2,2
2026-06-19T17:00:00+00:00,1,0,0,0,1,0,0,0
2026-06-19T18:00:00+00:00,0,1,1,0,0,0,4,4
2026-06-19T19:00:00+00:00,1,4,5,0,2,0,9,7
2026-06-19T20:00:00+00:00,4,8,7,0,3,0,22,10
2026-06-19T21:00:00+00:00,8,4,4,0,8,0,8,7
2026-06-19T22:00:00+00:00,4,0,0,2,2,8,0,0
2026-06-19T23:00:00+00:00,0,1,4,3,0,147,3,3
2026-06-20T00:00:00+00:00,1,3,7,5,0,75,11,10
2026-06-20T01:00:00+00:00,3,14,14,0,3,0,54,36
2026-06-20T02:00:00+00:00,14,11,8,0,11,0,43,36
2026-06-20T03:00:00+00:00,11,9,9,0,11,0,29,26
2026-06-20T04:00:00+00:00,9,1,1,0,9,0,6,6
2026-06-20T05:00:00+00:00,1,5,5,0,1,0,28,24
2026-06-20T06:00:00+00:00,5,8,10,0,7,0,27,21
2026-06-20T07:00:00+00:00,8,0,0,0,8,0,0,0
2026-06-20T08:00:00+00:00,0,2,2,0,0,0,6,6
2026-06-20T09:00:00+00:00,2,4,5,0,3,1,12,12
2026-06-20T10:00:00+00:00,4,6,10,0,8,0,16,15
2026-06-20T11:00:00+00:00,6,5,7,0,8,0,10,7
2026-06-20T12:00:00+00:00,5,3,1,0,3,0,8,8
2026-06-20T13:00:00+00:00,3,3,3,0,3,0,6,6
2026-06-20T14:00:00+00:00,3,1,3,0,5,0,3,3
2026-06-20T15:00:00+00:00,1,0,0,0,1,0,0,0
2026-06-20T16:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-20T17:00:00+00:00,0,3,3,0,0,0,8,8
2026-06-20T18:00:00+00:00,3,1,2,0,4,0,2,2
2026-06-20T19:00:00+00:00,1,1,1,0,1,2,3,3
2026-06-20T20:00:00+00:00,1,0,0,0,1,0,0,0
2026-06-20T21:00:00+00:00,0,3,4,0,1,0,8,6
2026-06-20T22:00:00+00:00,3,0,0,0,3,0,0,0
2026-06-20T23:00:00+00:00,0,1,1,0,0,0,2,2
2026-06-21T00:00:00+00:00,1,0,0,0,1,0,0,0
2026-06-21T01:00:00+00:00,0,1,1,0,0,0,2,2
2026-06-21T02:00:00+00:00,1,3,2,0,0,0,9,7
2026-06-21T03:00:00+00:00,3,6,5,0,2,0,25,21
2026-06-21T04:00:00+00:00,6,0,0,0,6,0,0,0
2026-06-21T05:00:00+00:00,0,2,2,0,0,0,6,6
2026-06-21T06:00:00+00:00,2,6,6,0,2,0,20,16
2026-06-21T07:00:00+00:00,6,3,1,0,4,0,18,13
2026-06-21T08:00:00+00:00,3,10,11,0,4,0,40,29
2026-06-21T09:00:00+00:00,10,4,4,0,10,0,16,14
2026-06-21T10:00:00+00:00,4,6,4,0,2,0,17,15
2026-06-21T11:00:00+00:00,6,4,5,0,7,6,10,9
2026-06-21T12:00:00+00:00,4,5,6,0,5,2,12,7
2026-06-21T13:00:00+00:00,5,8,6,0,3,0,22,16
2026-06-21T14:00:00+00:00,8,3,1,0,6,0,10,10
2026-06-21T15:00:00+00:00,3,2,2,0,3,0,6,6
2026-06-21T16:00:00+00:00,2,0,2,0,4,0,0,0
2026-06-21T17:00:00+00:00,0,5,5,0,0,0,14,13
2026-06-21T18:00:00+00:00,5,7,6,0,4,0,19,15
2026-06-21T19:00:00+00:00,7,10,8,0,5,0,28,21
2026-06-21T20:00:00+00:00,10,8,3,0,5,0,21,18
2026-06-21T21:00:00+00:00,8,4,2,0,6,3,17,13
2026-06-21T22:00:00+00:00,4,3,1,0,2,0,15,14
2026-06-21T23:00:00+00:00,3,6,4,0,1,0,14,13
2026-06-22T00:00:00+00:00,6,7,7,0,6,0,17,15
2026-06-22T01:00:00+00:00,7,0,1,0,8,0,0,0
2026-06-22T02:00:00+00:00,0,34,34,0,0,0,136,95
2026-06-22T03:00:00+00:00,34,7,9,0,36,0,29,22
2026-06-22T04:00:00+00:00,7,0,0,0,7,0,0,0
2026-06-22T05:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T06:00:00+00:00,0,4,4,0,0,0,24,19
2026-06-22T07:00:00+00:00,4,0,0,0,4,0,0,0
2026-06-22T08:00:00+00:00,0,30,30,0,0,0,128,94
2026-06-22T09:00:00+00:00,30,0,2,0,32,0,0,0
2026-06-22T10:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T11:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T12:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T13:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T14:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T15:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T16:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T17:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T18:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T19:00:00+00:00,0,0,0,0,0,11,0,0
2026-06-22T20:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T21:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T22:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T23:00:00+00:00,0,0,0,0,0,0,0,0
